Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
29-05-2022,Raw Banana (Plantain),9,10,13,1kg
29-05-2022,Amaranth Leaves,16,19,22,1kg
29-05-2022,Amla,65,79,92,1kg
29-05-2022,Ash gourd,18,22,26,1kg
29-05-2022,Baby Corn,71,86,101,1kg
29-05-2022,Banana Flower,17,21,24,1kg
29-05-2022,Capsicum,32,39,45,1kg
29-05-2022,Bitter Gourd,33,40,47,1kg
29-05-2022,Bottle Gourd,23,27,33,1kg
29-05-2022,Butter Beans,83,100,118,1kg
29-05-2022,Broad Beans,47,57,67,1kg
29-05-2022,Cabbage,16,19,22,1kg
29-05-2022,Carrot,34,41,48,1kg
29-05-2022,Cauliflower,24,29,34,1kg
29-05-2022,Cluster beans,37,45,52,1kg
29-05-2022,Coconut,15,18,21,1kg
29-05-2022,Colocasia Leaves,10,12,14,1kg
29-05-2022,Colocasia,28,34,40,1kg
29-05-2022,Coriander Leaves,7,8,10,1kg
29-05-2022,Corn,26,31,37,1kg
29-05-2022,Cucumber,18,22,26,1kg
29-05-2022,Curry Leaves,37,45,52,1kg
29-05-2022,Dill Leaves,10,12,14,1kg
29-05-2022,Drumsticks,55,66,78,1kg
29-05-2022,Brinjal,31,37,44,1kg
29-05-2022,Brinjal (Big),22,26,31,1kg
29-05-2022,Elephant Yam,30,36,43,1kg
29-05-2022,Fenugreek Leaves,11,13,15,1kg
29-05-2022,French Beans,76,92,108,1kg
29-05-2022,Garlic,96,116,136,1kg
29-05-2022,Ginger,41,49,58,1kg
29-05-2022,Onion Green,39,47,55,1kg
29-05-2022,Green Peas,84,102,120,1kg
29-05-2022,Ivy Gourd,26,31,37,1kg
29-05-2022,Lemon (Lime),125,151,178,1kg
29-05-2022,Mango Raw,21,25,30,1kg
29-05-2022,Mint Leaves,4,5,6,1kg
29-05-2022,Mushroom,71,86,101,1kg
29-05-2022,Mustard Leaves,16,19,22,1kg
29-05-2022,Ladies Finger,37,45,52,1kg
29-05-2022,Pumpkin,26,31,37,1kg
29-05-2022,Radish,25,30,35,1kg
29-05-2022,Ridge Gourd,23,27,33,1kg
29-05-2022,Shallot (Pearl Onion),34,41,48,1kg
29-05-2022,Snake Gourd,21,25,30,1kg
29-05-2022,Sorrel Leaves,13,16,18,1kg
29-05-2022,Spinach,12,14,17,1kg
29-05-2022,Sweet Potato,38,46,54,1kg
28-05-2022,Onion Big,16,19,22,1kg
28-05-2022,Onion Small,29,35,41,1kg
28-05-2022,Tomato,55,66,78,1kg
28-05-2022,Green Chilli,35,42,50,1kg
28-05-2022,Beetroot,36,43,51,1kg
28-05-2022,Potato,26,31,37,1kg
28-05-2022,Raw Banana (Plantain),9,10,13,1kg
28-05-2022,Amaranth Leaves,16,19,22,1kg
28-05-2022,Amla,65,79,92,1kg
28-05-2022,Ash gourd,18,22,26,1kg
28-05-2022,Baby Corn,71,86,101,1kg
28-05-2022,Banana Flower,17,21,24,1kg
28-05-2022,Capsicum,32,39,45,1kg
28-05-2022,Bitter Gourd,33,40,47,1kg
28-05-2022,Bottle Gourd,23,27,33,1kg
28-05-2022,Butter Beans,83,100,118,1kg
28-05-2022,Broad Beans,47,57,67,1kg
28-05-2022,Cabbage,16,19,22,1kg
28-05-2022,Carrot,34,41,48,1kg
28-05-2022,Cauliflower,24,29,34,1kg
28-05-2022,Cluster beans,37,45,52,1kg
28-05-2022,Coconut,15,18,21,1kg
28-05-2022,Colocasia Leaves,10,12,14,1kg
28-05-2022,Colocasia,28,34,40,1kg
28-05-2022,Coriander Leaves,7,8,10,1kg
28-05-2022,Corn,26,31,37,1kg
28-05-2022,Cucumber,18,22,26,1kg
28-05-2022,Curry Leaves,37,45,52,1kg
28-05-2022,Dill Leaves,10,12,14,1kg
28-05-2022,Drumsticks,55,66,78,1kg
28-05-2022,Brinjal,31,37,44,1kg
28-05-2022,Brinjal (Big),22,26,31,1kg
28-05-2022,Elephant Yam,30,36,43,1kg
28-05-2022,Fenugreek Leaves,11,13,15,1kg
28-05-2022,French Beans,76,92,108,1kg
28-05-2022,Garlic,96,116,136,1kg
28-05-2022,Ginger,41,49,58,1kg
28-05-2022,Onion Green,39,47,55,1kg
28-05-2022,Green Peas,84,102,120,1kg
28-05-2022,Ivy Gourd,26,31,37,1kg
28-05-2022,Lemon (Lime),125,151,178,1kg
28-05-2022,Mango Raw,21,25,30,1kg
28-05-2022,Mint Leaves,4,5,6,1kg
28-05-2022,Mushroom,71,86,101,1kg
28-05-2022,Mustard Leaves,16,19,22,1kg
28-05-2022,Ladies Finger,37,45,52,1kg
28-05-2022,Pumpkin,26,31,37,1kg
28-05-2022,Radish,25,30,35,1kg
28-05-2022,Ridge Gourd,23,27,33,1kg
28-05-2022,Shallot (Pearl Onion),34,41,48,1kg
28-05-2022,Snake Gourd,21,25,30,1kg
28-05-2022,Sorrel Leaves,13,16,18,1kg
28-05-2022,Spinach,12,14,17,1kg
28-05-2022,Sweet Potato,38,46,54,1kg
27-05-2022,Onion Big,18,22,26,1kg
27-05-2022,Onion Small,26,31,37,1kg
27-05-2022,Tomato,86,104,122,1kg
27-05-2022,Green Chilli,37,45,52,1kg
27-05-2022,Beetroot,38,46,54,1kg
27-05-2022,Potato,24,29,34,1kg
27-05-2022,Raw Banana (Plantain),9,10,13,1kg
27-05-2022,Amaranth Leaves,12,14,17,1kg
27-05-2022,Amla,65,79,92,1kg
27-05-2022,Ash gourd,22,26,31,1kg
27-05-2022,Baby Corn,58,70,83,1kg
27-05-2022,Banana Flower,20,24,28,1kg
27-05-2022,Capsicum,36,43,51,1kg
27-05-2022,Bitter Gourd,40,48,57,1kg
27-05-2022,Bottle Gourd,24,29,34,1kg
27-05-2022,Butter Beans,88,106,125,1kg
27-05-2022,Broad Beans,50,61,71,1kg
27-05-2022,Cabbage,20,24,28,1kg
27-05-2022,Carrot,33,40,47,1kg
27-05-2022,Cauliflower,22,26,31,1kg
27-05-2022,Cluster beans,31,37,44,1kg
27-05-2022,Coconut,20,24,28,1kg
27-05-2022,Colocasia Leaves,16,19,22,1kg
27-05-2022,Colocasia,23,27,33,1kg
27-05-2022,Coriander Leaves,9,10,13,1kg
27-05-2022,Corn,26,31,37,1kg
27-05-2022,Cucumber,15,18,21,1kg
27-05-2022,Curry Leaves,35,42,50,1kg
27-05-2022,Dill Leaves,13,16,18,1kg
27-05-2022,Drumsticks,65,79,92,1kg
27-05-2022,Brinjal,30,36,43,1kg
27-05-2022,Brinjal (Big),21,25,30,1kg
27-05-2022,Elephant Yam,26,31,37,1kg
27-05-2022,Fenugreek Leaves,11,13,15,1kg
27-05-2022,French Beans,87,105,124,1kg
27-05-2022,Garlic,90,109,128,1kg
27-05-2022,Ginger,45,54,64,1kg
27-05-2022,Onion Green,44,53,63,1kg
27-05-2022,Green Peas,91,110,129,1kg
27-05-2022,Ivy Gourd,25,30,35,1kg
27-05-2022,Lemon (Lime),116,140,165,1kg
27-05-2022,Mango Raw,26,31,37,1kg
27-05-2022,Mint Leaves,5,6,7,1kg
27-05-2022,Mushroom,78,94,111,1kg
27-05-2022,Mustard Leaves,17,21,24,1kg
27-05-2022,Ladies Finger,40,48,57,1kg
27-05-2022,Pumpkin,21,25,30,1kg
27-05-2022,Radish,23,27,33,1kg
27-05-2022,Ridge Gourd,27,32,38,1kg
27-05-2022,Shallot (Pearl Onion),31,37,44,1kg
27-05-2022,Snake Gourd,18,22,26,1kg
27-05-2022,Sorrel Leaves,12,14,17,1kg
27-05-2022,Spinach,13,16,18,1kg
27-05-2022,Sweet Potato,40,48,57,1kg
26-05-2022,Onion Big,18,22,26,1kg
26-05-2022,Onion Small,26,31,37,1kg
26-05-2022,Tomato,86,104,122,1kg
26-05-2022,Green Chilli,37,45,52,1kg
26-05-2022,Beetroot,38,46,54,1kg
26-05-2022,Potato,24,29,34,1kg
26-05-2022,Raw Banana (Plantain),9,10,13,1kg
26-05-2022,Amaranth Leaves,12,14,17,1kg
26-05-2022,Amla,65,79,92,1kg
26-05-2022,Ash gourd,22,26,31,1kg
26-05-2022,Baby Corn,58,70,83,1kg
26-05-2022,Banana Flower,20,24,28,1kg
26-05-2022,Capsicum,36,43,51,1kg
26-05-2022,Bitter Gourd,40,48,57,1kg
26-05-2022,Bottle Gourd,24,29,34,1kg
26-05-2022,Butter Beans,88,106,125,1kg
26-05-2022,Broad Beans,50,61,71,1kg
26-05-2022,Cabbage,20,24,28,1kg
26-05-2022,Carrot,33,40,47,1kg
26-05-2022,Cauliflower,22,26,31,1kg
26-05-2022,Cluster beans,31,37,44,1kg
26-05-2022,Coconut,20,24,28,1kg
26-05-2022,Colocasia Leaves,16,19,22,1kg
26-05-2022,Colocasia,23,27,33,1kg
26-05-2022,Coriander Leaves,9,10,13,1kg
26-05-2022,Corn,26,31,37,1kg
26-05-2022,Cucumber,15,18,21,1kg
26-05-2022,Curry Leaves,35,42,50,1kg
26-05-2022,Dill Leaves,13,16,18,1kg
26-05-2022,Drumsticks,65,79,92,1kg
26-05-2022,Brinjal,30,36,43,1kg
26-05-2022,Brinjal (Big),21,25,30,1kg
26-05-2022,Elephant Yam,26,31,37,1kg
26-05-2022,Fenugreek Leaves,11,13,15,1kg
26-05-2022,French Beans,87,105,124,1kg
26-05-2022,Garlic,90,109,128,1kg
26-05-2022,Ginger,45,54,64,1kg
26-05-2022,Onion Green,44,53,63,1kg
26-05-2022,Green Peas,91,110,129,1kg
26-05-2022,Ivy Gourd,25,30,35,1kg
26-05-2022,Lemon (Lime),116,140,165,1kg
26-05-2022,Mango Raw,26,31,37,1kg
26-05-2022,Mint Leaves,5,6,7,1kg
26-05-2022,Mushroom,78,94,111,1kg
26-05-2022,Mustard Leaves,17,21,24,1kg
26-05-2022,Ladies Finger,40,48,57,1kg
26-05-2022,Pumpkin,21,25,30,1kg
26-05-2022,Radish,23,27,33,1kg
26-05-2022,Ridge Gourd,27,32,38,1kg
26-05-2022,Shallot (Pearl Onion),31,37,44,1kg
26-05-2022,Snake Gourd,18,22,26,1kg
26-05-2022,Sorrel Leaves,12,14,17,1kg
26-05-2022,Spinach,13,16,18,1kg
26-05-2022,Sweet Potato,40,48,57,1kg
25-05-2022,Onion Big,18,22,26,1kg
25-05-2022,Onion Small,26,31,37,1kg
25-05-2022,Tomato,86,104,122,1kg
25-05-2022,Green Chilli,37,45,52,1kg
25-05-2022,Beetroot,38,46,54,1kg
25-05-2022,Potato,24,29,34,1kg
25-05-2022,Raw Banana (Plantain),9,10,13,1kg
25-05-2022,Amaranth Leaves,12,14,17,1kg
25-05-2022,Amla,65,79,92,1kg
25-05-2022,Ash gourd,22,26,31,1kg
25-05-2022,Baby Corn,58,70,83,1kg
25-05-2022,Banana Flower,20,24,28,1kg
25-05-2022,Capsicum,36,43,51,1kg
25-05-2022,Bitter Gourd,40,48,57,1kg
25-05-2022,Bottle Gourd,24,29,34,1kg
25-05-2022,Butter Beans,88,106,125,1kg
25-05-2022,Broad Beans,50,61,71,1kg
25-05-2022,Cabbage,20,24,28,1kg
25-05-2022,Carrot,33,40,47,1kg
25-05-2022,Cauliflower,22,26,31,1kg
25-05-2022,Cluster beans,31,37,44,1kg
25-05-2022,Coconut,20,24,28,1kg
25-05-2022,Colocasia Leaves,16,19,22,1kg
25-05-2022,Colocasia,23,27,33,1kg
25-05-2022,Coriander Leaves,9,10,13,1kg
25-05-2022,Corn,26,31,37,1kg
25-05-2022,Cucumber,15,18,21,1kg
25-05-2022,Curry Leaves,35,42,50,1kg
25-05-2022,Dill Leaves,13,16,18,1kg
25-05-2022,Drumsticks,65,79,92,1kg
25-05-2022,Brinjal,30,36,43,1kg
25-05-2022,Brinjal (Big),21,25,30,1kg
25-05-2022,Elephant Yam,26,31,37,1kg
25-05-2022,Fenugreek Leaves,11,13,15,1kg
25-05-2022,French Beans,87,105,124,1kg
25-05-2022,Garlic,90,109,128,1kg
25-05-2022,Ginger,45,54,64,1kg
25-05-2022,Onion Green,44,53,63,1kg
25-05-2022,Green Peas,91,110,129,1kg
25-05-2022,Ivy Gourd,25,30,35,1kg
25-05-2022,Lemon (Lime),116,140,165,1kg
25-05-2022,Mango Raw,26,31,37,1kg
25-05-2022,Mint Leaves,5,6,7,1kg
25-05-2022,Mushroom,78,94,111,1kg
25-05-2022,Mustard Leaves,17,21,24,1kg
25-05-2022,Ladies Finger,40,48,57,1kg
25-05-2022,Pumpkin,21,25,30,1kg
25-05-2022,Radish,23,27,33,1kg
25-05-2022,Ridge Gourd,27,32,38,1kg
25-05-2022,Shallot (Pearl Onion),31,37,44,1kg
25-05-2022,Snake Gourd,18,22,26,1kg
25-05-2022,Sorrel Leaves,12,14,17,1kg
25-05-2022,Spinach,13,16,18,1kg
25-05-2022,Sweet Potato,40,48,57,1kg
24-05-2022,Onion Big,18,22,26,1kg
24-05-2022,Onion Small,26,31,37,1kg
24-05-2022,Tomato,85,103,121,1kg
24-05-2022,Green Chilli,37,45,52,1kg
24-05-2022,Beetroot,38,46,54,1kg
24-05-2022,Potato,24,29,34,1kg
24-05-2022,Raw Banana (Plantain),7,8,10,1kg
24-05-2022,Amaranth Leaves,16,19,22,1kg
24-05-2022,Amla,65,79,92,1kg
24-05-2022,Ash gourd,20,24,28,1kg
24-05-2022,Baby Corn,72,87,102,1kg
24-05-2022,Banana Flower,17,21,24,1kg
24-05-2022,Capsicum,34,41,48,1kg
24-05-2022,Bitter Gourd,33,40,47,1kg
24-05-2022,Bottle Gourd,20,24,28,1kg
24-05-2022,Butter Beans,86,104,122,1kg
24-05-2022,Broad Beans,48,58,68,1kg
24-05-2022,Cabbage,20,24,28,1kg
24-05-2022,Carrot,30,36,43,1kg
24-05-2022,Cauliflower,26,31,37,1kg
24-05-2022,Cluster beans,30,36,43,1kg
24-05-2022,Coconut,19,23,27,1kg
24-05-2022,Colocasia Leaves,15,18,21,1kg
24-05-2022,Colocasia,26,31,37,1kg
24-05-2022,Coriander Leaves,10,12,14,1kg
24-05-2022,Corn,22,26,31,1kg
24-05-2022,Cucumber,14,17,20,1kg
24-05-2022,Curry Leaves,37,45,52,1kg
24-05-2022,Dill Leaves,14,17,20,1kg
24-05-2022,Drumsticks,65,79,92,1kg
24-05-2022,Brinjal,27,32,38,1kg
24-05-2022,Brinjal (Big),20,24,28,1kg
24-05-2022,Elephant Yam,28,34,40,1kg
24-05-2022,Fenugreek Leaves,13,16,18,1kg
24-05-2022,French Beans,77,93,109,1kg
24-05-2022,Garlic,90,109,128,1kg
24-05-2022,Ginger,40,48,57,1kg
24-05-2022,Onion Green,35,42,50,1kg
24-05-2022,Green Peas,88,106,125,1kg
24-05-2022,Ivy Gourd,28,34,40,1kg
24-05-2022,Lemon (Lime),129,156,184,1kg
24-05-2022,Mango Raw,26,31,37,1kg
24-05-2022,Mint Leaves,6,7,8,1kg
24-05-2022,Mushroom,73,88,104,1kg
24-05-2022,Mustard Leaves,18,22,26,1kg
24-05-2022,Ladies Finger,36,43,51,1kg
24-05-2022,Pumpkin,22,26,31,1kg
24-05-2022,Radish,21,25,30,1kg
24-05-2022,Ridge Gourd,27,32,38,1kg
24-05-2022,Shallot (Pearl Onion),35,42,50,1kg
24-05-2022,Snake Gourd,23,27,33,1kg
24-05-2022,Sorrel Leaves,13,16,18,1kg
24-05-2022,Spinach,10,12,14,1kg
24-05-2022,Sweet Potato,42,50,59,1kg
23-05-2022,Onion Big,18,22,26,1kg
23-05-2022,Onion Small,26,31,37,1kg
23-05-2022,Tomato,85,103,121,1kg
23-05-2022,Green Chilli,37,45,52,1kg
23-05-2022,Beetroot,38,46,54,1kg
23-05-2022,Potato,24,29,34,1kg
23-05-2022,Raw Banana (Plantain),7,8,10,1kg
23-05-2022,Amaranth Leaves,16,19,22,1kg
23-05-2022,Amla,65,79,92,1kg
23-05-2022,Ash gourd,20,24,28,1kg
23-05-2022,Baby Corn,72,87,102,1kg
23-05-2022,Banana Flower,17,21,24,1kg
23-05-2022,Capsicum,34,41,48,1kg
23-05-2022,Bitter Gourd,33,40,47,1kg
23-05-2022,Bottle Gourd,20,24,28,1kg
23-05-2022,Butter Beans,86,104,122,1kg
23-05-2022,Broad Beans,48,58,68,1kg
23-05-2022,Cabbage,20,24,28,1kg
23-05-2022,Carrot,30,36,43,1kg
23-05-2022,Cauliflower,26,31,37,1kg
23-05-2022,Cluster beans,30,36,43,1kg
23-05-2022,Coconut,19,23,27,1kg
23-05-2022,Colocasia Leaves,15,18,21,1kg
23-05-2022,Colocasia,26,31,37,1kg
23-05-2022,Coriander Leaves,10,12,14,1kg
23-05-2022,Corn,22,26,31,1kg
23-05-2022,Cucumber,14,17,20,1kg
23-05-2022,Curry Leaves,37,45,52,1kg
23-05-2022,Dill Leaves,14,17,20,1kg
23-05-2022,Drumsticks,65,79,92,1kg
23-05-2022,Brinjal,27,32,38,1kg
23-05-2022,Brinjal (Big),20,24,28,1kg
23-05-2022,Elephant Yam,28,34,40,1kg
23-05-2022,Fenugreek Leaves,13,16,18,1kg
23-05-2022,French Beans,77,93,109,1kg
23-05-2022,Garlic,90,109,128,1kg
23-05-2022,Ginger,40,48,57,1kg
23-05-2022,Onion Green,35,42,50,1kg
23-05-2022,Green Peas,88,106,125,1kg
23-05-2022,Ivy Gourd,28,34,40,1kg
23-05-2022,Lemon (Lime),129,156,184,1kg
23-05-2022,Mango Raw,26,31,37,1kg
23-05-2022,Mint Leaves,6,7,8,1kg
23-05-2022,Mushroom,73,88,104,1kg
23-05-2022,Mustard Leaves,18,22,26,1kg
23-05-2022,Ladies Finger,36,43,51,1kg
23-05-2022,Pumpkin,22,26,31,1kg
23-05-2022,Radish,21,25,30,1kg
23-05-2022,Ridge Gourd,27,32,38,1kg
23-05-2022,Shallot (Pearl Onion),35,42,50,1kg
23-05-2022,Snake Gourd,23,27,33,1kg
23-05-2022,Sorrel Leaves,13,16,18,1kg
23-05-2022,Spinach,10,12,14,1kg
23-05-2022,Sweet Potato,42,50,59,1kg
22-05-2022,Onion Big,18,22,26,1kg
22-05-2022,Onion Small,26,31,37,1kg
22-05-2022,Tomato,85,103,121,1kg
22-05-2022,Green Chilli,37,45,52,1kg
22-05-2022,Beetroot,38,46,54,1kg
22-05-2022,Potato,24,29,34,1kg
22-05-2022,Raw Banana (Plantain),7,8,10,1kg
22-05-2022,Amaranth Leaves,16,19,22,1kg
22-05-2022,Amla,65,79,92,1kg
22-05-2022,Ash gourd,20,24,28,1kg
22-05-2022,Baby Corn,72,87,102,1kg
22-05-2022,Banana Flower,17,21,24,1kg
22-05-2022,Capsicum,34,41,48,1kg
22-05-2022,Bitter Gourd,33,40,47,1kg
22-05-2022,Bottle Gourd,20,24,28,1kg
22-05-2022,Butter Beans,86,104,122,1kg
22-05-2022,Broad Beans,48,58,68,1kg
22-05-2022,Cabbage,20,24,28,1kg
22-05-2022,Carrot,30,36,43,1kg
22-05-2022,Cauliflower,26,31,37,1kg
22-05-2022,Cluster beans,30,36,43,1kg
22-05-2022,Coconut,19,23,27,1kg
22-05-2022,Colocasia Leaves,15,18,21,1kg
22-05-2022,Colocasia,26,31,37,1kg
22-05-2022,Coriander Leaves,10,12,14,1kg
22-05-2022,Corn,22,26,31,1kg
22-05-2022,Cucumber,14,17,20,1kg
22-05-2022,Curry Leaves,37,45,52,1kg
22-05-2022,Dill Leaves,14,17,20,1kg
22-05-2022,Drumsticks,65,79,92,1kg
22-05-2022,Brinjal,27,32,38,1kg
22-05-2022,Brinjal (Big),20,24,28,1kg
22-05-2022,Elephant Yam,28,34,40,1kg
22-05-2022,Fenugreek Leaves,13,16,18,1kg
22-05-2022,French Beans,77,93,109,1kg
22-05-2022,Garlic,90,109,128,1kg
22-05-2022,Ginger,40,48,57,1kg
22-05-2022,Onion Green,35,42,50,1kg
22-05-2022,Green Peas,88,106,125,1kg
22-05-2022,Ivy Gourd,28,34,40,1kg
22-05-2022,Lemon (Lime),129,156,184,1kg
22-05-2022,Mango Raw,26,31,37,1kg
22-05-2022,Mint Leaves,6,7,8,1kg
22-05-2022,Mushroom,73,88,104,1kg
22-05-2022,Mustard Leaves,18,22,26,1kg
22-05-2022,Ladies Finger,36,43,51,1kg
22-05-2022,Pumpkin,22,26,31,1kg
22-05-2022,Radish,21,25,30,1kg
22-05-2022,Ridge Gourd,27,32,38,1kg
22-05-2022,Shallot (Pearl Onion),35,42,50,1kg
22-05-2022,Snake Gourd,23,27,33,1kg
22-05-2022,Sorrel Leaves,13,16,18,1kg
22-05-2022,Spinach,10,12,14,1kg
22-05-2022,Sweet Potato,42,50,59,1kg
21-05-2022,Onion Big,18,22,26,1kg
21-05-2022,Onion Small,26,31,37,1kg
21-05-2022,Tomato,85,103,121,1kg
21-05-2022,Green Chilli,37,45,52,1kg
21-05-2022,Beetroot,38,46,54,1kg
21-05-2022,Potato,24,29,34,1kg
21-05-2022,Raw Banana (Plantain),7,8,10,1kg
21-05-2022,Amaranth Leaves,16,19,22,1kg
21-05-2022,Amla,65,79,92,1kg
21-05-2022,Ash gourd,20,24,28,1kg
21-05-2022,Baby Corn,72,87,102,1kg
21-05-2022,Banana Flower,17,21,24,1kg
21-05-2022,Capsicum,34,41,48,1kg
21-05-2022,Bitter Gourd,33,40,47,1kg
21-05-2022,Bottle Gourd,20,24,28,1kg
21-05-2022,Butter Beans,86,104,122,1kg
21-05-2022,Broad Beans,48,58,68,1kg
21-05-2022,Cabbage,20,24,28,1kg
21-05-2022,Carrot,30,36,43,1kg
21-05-2022,Cauliflower,26,31,37,1kg
21-05-2022,Cluster beans,30,36,43,1kg
21-05-2022,Coconut,19,23,27,1kg
21-05-2022,Colocasia Leaves,15,18,21,1kg
21-05-2022,Colocasia,26,31,37,1kg
21-05-2022,Coriander Leaves,10,12,14,1kg
21-05-2022,Corn,22,26,31,1kg
21-05-2022,Cucumber,14,17,20,1kg
21-05-2022,Curry Leaves,37,45,52,1kg
21-05-2022,Dill Leaves,14,17,20,1kg
21-05-2022,Drumsticks,65,79,92,1kg
21-05-2022,Brinjal,27,32,38,1kg
21-05-2022,Brinjal (Big),20,24,28,1kg
21-05-2022,Elephant Yam,28,34,40,1kg
21-05-2022,Fenugreek Leaves,13,16,18,1kg
21-05-2022,French Beans,77,93,109,1kg
21-05-2022,Garlic,90,109,128,1kg
